ファンド名,積立額,比率,アセットクラス,地域,騰落率(3年),シャープレシオ(1年),標準偏差（σ-シグマ）（1年）,リスクメジャー(3年),ファンドレーティング(総合)
ｅＭＡＸＩＳ ＮＡＳＤＡＱ１００インデックス,"¥5,000",14.29%,株式,米国,147.96,1.24,21.29,5,5
ｉＦｒｅｅＮＥＸＴ ＦＡＮＧ＋インデックス,"¥3,000",8.57%,株式,米国,278.9,1.45,26.02,5,4
野村世界業種別投資シリーズ（世界半導体株投資）,"¥2,000",5.71%,株式,世界,273.49,1.67,38.02,5,5
カレラ 日本小型株式ファンド,"¥3,000",8.57%,株式,日本,107.95,3.11,21.61,4,2
２１世紀東京 日本株式ファンド,"¥5,000",14.29%,株式,日本,120.78,3.3,14.19,4,4
中欧株式ファンド,"¥3,000",8.57%,株式,欧州,144.84,5.38,12.12,5,5
ｅＭＡＸＩＳ 日経アジア３００インベスタブル・インデックス,"¥5,000",14.29%,株式,アジア,79.62,1.92,18.84,4,3
ｅＭＡＸＩＳ　新興国リートインデックス,"¥5,000",14.29%,REIT,新興国,65.31,2.77,12.2,3,3
ピクテ・ゴールド（為替ヘッジあり）,"¥2,000",5.71%,コモディティ,米国,93.91,3.54,13.62,4,3
ｉＦｒｅｅ 新興国債券インデックス,"¥2,000",5.71%,債券,新興国,50.12,2.54,7.45,2,4
,"¥35,000",,,,128.53,2.61,18.00,,